time,area_h1,area_h2,area_h3,area_h4,area_h5,area_h6,area_h7
1081250,90767.747784529,79855.612390276,56364.518355642,59824.857693874,45865.228595978,16527.384200073,300794.65097962
1087500,90506.016310911,79973.715367281,56424.736555184,60006.626432386,45937.874146307,16381.654197881,300769.37699004
1093750,90244.733202652,80091.021918981,56485.338923034,60187.741718259,46010.836427208,16247.803258749,300732.52455111
1100000,89984.267228856,80207.361329472,56546.17492396,60368.102720411,46084.060455078,16116.335344679,300693.69799753
1106250,89724.930724592,80322.40491491,56606.962122657,60547.805628678,46157.530470129,15979.635974205,300660.73016482
1112500,89466.962691895,80435.671535753,56667.711206698,60727.116998541,46231.27190479,15857.865277638,300613.40038467
1118750,89210.518018518,80546.851776322,56728.1051414,60906.408040347,46305.350830548,15728.771630194,300573.99456266
1125000,88955.66346114,80656.047393265,56787.527171638,61086.066348426,46379.870475677,15605.918512525,300528.90663732
1131250,88702.379945857,80763.485752237,56845.722432612,61266.411074133,46454.965906073,15490.94435384,300476.09053524
1137500,88450.569802769,80869.181052797,56902.902627513,61447.629972575,46530.797207664,15367.799378052,300431.11995862
1143750,88200.067594524,80972.999027142,56959.371937053,61629.740973266,46607.541636612,15258.943828227,300371.33500316
1150000,87950.653508817,81074.895087046,57015.268206578,61812.583002098,46685.385783428,15146.077715773,300315.13669625
1156250,87702.068943713,81175.023087158,57070.638604403,61995.846382869,46764.517011771,15034.892239259,300257.01373082
1162500,87454.034181435,81273.62325578,57125.509268389,62179.135432837,46845.114660839,14933.749373657,300188.83382705
1168750,87206.267866792,81370.802426172,57179.839088189,62362.042216863,46927.340449629,14823.308466969,300130.39948538
1175000,86958.507347722,81466.455419198,57233.420614039,62544.215226767,47011.32816152,14725.207500017,300060.86573073
1181250,86710.528135408,81560.455762772,57285.903711163,62725.414172425,47097.173612377,14624.757270425,299995.76733542
1187500,86462.160147149,81652.81262096,57337.122700527,62905.533601627,47184.925406159,14523.554660125,299933.89086344
1193750,86213.298422983,81743.65554628,57387.307670415,63084.577554058,47274.578384099,14432.188456221,299864.39396593
1200000,85963.906681421,81833.140296302,57436.941035636,63262.604515701,47366.070872064,14332.250519288,299805.08607958
1206250,85714.013429025,81921.35483678,57486.495015256,63439.68364505,47459.286694567,14242.371267439,299736.79511187
1212500,85463.701780968,82008.386018613,57536.281570864,63615.875776489,47554.06233171,14151.165724607,299670.52679674
1218750,85213.09525686,82094.440519848,57586.483151549,63791.219912675,47650.198310772,14058.517891444,299606.04495684
1225000,84962.342141614,82179.850201214,57637.247040634,63965.703060269,47747.473601828,13973.758126166,299533.62582826
1231250,84711.600561547,82264.95830505,57688.733963553,64139.221463454,47845.661423164,13882.912956746,299466.91132648
1237500,84461.025543797,82349.95879141,57741.119242267,64311.561329198,47944.544780907,13798.037183342,299393.75312907
1243750,84210.758588111,82434.760343684,57794.56195615,64482.420242832,48043.930653224,13714.653151884,299318.9150641
1250000,83960.919802082,82518.988334091,57849.163660528,64651.466908063,48143.661726033,13626.889919085,299248.90965011
1256250,83711.602538294,82602.192456782,57904.97581955,64818.411042004,48243.625283233,13548.293595092,299170.89926503
